,category,vanilla_name,btw_name,vanilla_path,btw_path
0,block,acacia_door_bottom,decoBlockDoorAcacia_lower,/assets/minecraft/textures/block/acacia_door_bottom.png,/textures/blocks/decoBlockDoorAcacia_lower.png
1,block,acacia_door_top,decoBlockDoorAcacia_upper,/assets/minecraft/textures/block/acacia_door_top.png,/textures/blocks/decoBlockDoorAcacia_upper.png
2,block,acacia_leaves,leaves,/assets/minecraft/textures/block/acacia_leaves.png,/textures/blocks/leaves.png
3,block,acacia_log,decoBlockLogAcacia_side,/assets/minecraft/textures/block/acacia_log.png,/textures/blocks/decoBlockLogAcacia_side.png
4,block,acacia_log,decoItemBarkAcacia,/assets/minecraft/textures/block/acacia_log.png,/textures/items/decoItemBarkAcacia.png
5,block,acacia_log_top,decoBlockLogAcacia_top,/assets/minecraft/textures/block/acacia_log_top.png,/textures/blocks/decoBlockLogAcacia_top.png
6,block,acacia_planks,decoBlockGateAcacia,/assets/minecraft/textures/block/acacia_planks.png,/textures/blocks/decoBlockGateAcacia.png
7,block,acacia_planks,decoBlockChairAcacia,/assets/minecraft/textures/block/acacia_planks.png,/textures/blocks/decoBlockChairAcacia.png
8,block,acacia_planks,decoBlockPlanksAcacia,/assets/minecraft/textures/block/acacia_planks.png,/textures/blocks/decoBlockPlanksAcacia.png
9,block,acacia_trapdoor,decoBlockTrapdoorAcacia,/assets/minecraft/textures/block/acacia_trapdoor.png,/textures/blocks/decoBlockTrapdoorAcacia.png
10,block,activator_rail,activatorRail,/assets/minecraft/textures/block/activator_rail.png,/textures/blocks/activatorRail.png
11,block,activator_rail_on,activatorRail_powered,/assets/minecraft/textures/block/activator_rail_on.png,/textures/blocks/activatorRail_powered.png
12,block,allium,decoBlockFlower_7,/assets/minecraft/textures/block/allium.png,/textures/blocks/decoBlockFlower_7.png
13,block,amethyst_block,decoBlockAmethyst,/assets/minecraft/textures/block/amethyst_block.png,/textures/blocks/decoBlockAmethyst.png
14,block,amethyst_cluster,decoBlockAmethystShard,/assets/minecraft/textures/block/amethyst_cluster.png,/textures/blocks/decoBlockAmethystShard.png
15,block,andesite,decoBlockAndesiteColumn,/assets/minecraft/textures/block/andesite.png,/textures/blocks/decoBlockAndesiteColumn.png
16,block,andesite,decoBlockAndesite,/assets/minecraft/textures/block/andesite.png,/textures/blocks/decoBlockAndesite.png
17,block,anvil,anvil_base,/assets/minecraft/textures/block/anvil.png,/textures/blocks/anvil_base.png
18,block,anvil,fcBlockSpikeIron,/assets/minecraft/textures/block/anvil.png,/textures/blocks/fcBlockSpikeIron.png
19,block,anvil,fcBlockLightningRodOld,/assets/minecraft/textures/block/anvil.png,/textures/blocks/fcBlockLightningRodOld.png
20,block,anvil_top,anvil_top,/assets/minecraft/textures/block/anvil_top.png,/textures/blocks/anvil_top.png
21,block,attached_melon_stem,stem_bent,/assets/minecraft/textures/block/attached_melon_stem.png,/textures/blocks/stem_bent.png
22,block,attached_pumpkin_stem,stem_bent,/assets/minecraft/textures/block/attached_pumpkin_stem.png,/textures/blocks/stem_bent.png
23,block,azure_bluet,decoBlockFlower_10,/assets/minecraft/textures/block/azure_bluet.png,/textures/blocks/decoBlockFlower_10.png
24,block,basalt_side,decoBlockBasalt_side,/assets/minecraft/textures/block/basalt_side.png,/textures/blocks/decoBlockBasalt_side.png
25,block,basalt_top,decoBlockBasalt_top,/assets/minecraft/textures/block/basalt_top.png,/textures/blocks/decoBlockBasalt_top.png
26,block,bedrock,bedrock,/assets/minecraft/textures/block/bedrock.png,/textures/blocks/bedrock.png
27,block,beetroots_stage0,carrots_0,/assets/minecraft/textures/block/beetroots_stage0.png,/textures/blocks/carrots_0.png
28,block,beetroots_stage0,potatoes_0,/assets/minecraft/textures/block/beetroots_stage0.png,/textures/blocks/potatoes_0.png
29,block,beetroots_stage1,potatoes_1,/assets/minecraft/textures/block/beetroots_stage1.png,/textures/blocks/potatoes_1.png
30,block,beetroots_stage1,carrots_1,/assets/minecraft/textures/block/beetroots_stage1.png,/textures/blocks/carrots_1.png
31,block,beetroots_stage2,potatoes_2,/assets/minecraft/textures/block/beetroots_stage2.png,/textures/blocks/potatoes_2.png
32,block,beetroots_stage2,carrots_2,/assets/minecraft/textures/block/beetroots_stage2.png,/textures/blocks/carrots_2.png
33,block,birch_door_bottom,decoBlockDoorBirch_lower,/assets/minecraft/textures/block/birch_door_bottom.png,/textures/blocks/decoBlockDoorBirch_lower.png
34,block,birch_door_top,decoBlockDoorBirch_upper,/assets/minecraft/textures/block/birch_door_top.png,/textures/blocks/decoBlockDoorBirch_upper.png
35,block,birch_leaves,leaves,/assets/minecraft/textures/block/birch_leaves.png,/textures/blocks/leaves.png
36,block,birch_log,tree_birch,/assets/minecraft/textures/block/birch_log.png,/textures/blocks/tree_birch.png
37,block,birch_log_top,decoBlockLogBirch_top,/assets/minecraft/textures/block/birch_log_top.png,/textures/blocks/decoBlockLogBirch_top.png
38,block,birch_planks,decoBlockChairBirch,/assets/minecraft/textures/block/birch_planks.png,/textures/blocks/decoBlockChairBirch.png
39,block,birch_planks,wood_birch,/assets/minecraft/textures/block/birch_planks.png,/textures/blocks/wood_birch.png
40,block,birch_planks,decoblockGateBirch,/assets/minecraft/textures/block/birch_planks.png,/textures/blocks/decoblockGateBirch.png
41,block,birch_planks,decoBlockGateBirch,/assets/minecraft/textures/block/birch_planks.png,/textures/blocks/decoBlockGateBirch.png
42,block,birch_planks,fcBlockDecorativeWoodBirch,/assets/minecraft/textures/block/birch_planks.png,/textures/blocks/fcBlockDecorativeWoodBirch.png
43,block,birch_sapling,sapling_birch,/assets/minecraft/textures/block/birch_sapling.png,/textures/blocks/sapling_birch.png
44,block,birch_trapdoor,decoBlockTrapdoorBirch,/assets/minecraft/textures/block/birch_trapdoor.png,/textures/blocks/decoBlockTrapdoorBirch.png
45,block,black_concrete,decoBlockConcreteColumn_black,/assets/minecraft/textures/block/black_concrete.png,/textures/blocks/decoBlockConcreteColumn_black.png
46,block,black_concrete,decoBlockConcrete_black,/assets/minecraft/textures/block/black_concrete.png,/textures/blocks/decoBlockConcrete_black.png
47,block,black_concrete_powder,decoBlockConcretePowder_black,/assets/minecraft/textures/block/black_concrete_powder.png,/textures/blocks/decoBlockConcretePowder_black.png
48,block,black_glazed_terracotta,decoBlockGlazedTerracotta_black_0,/assets/minecraft/textures/block/black_glazed_terracotta.png,/textures/blocks/decoBlockGlazedTerracotta_black_0.png
49,block,black_stained_glass,decoBlockStainedGlass_black,/assets/minecraft/textures/block/black_stained_glass.png,/textures/blocks/decoBlockStainedGlass_black.png
50,block,black_terracotta,decoBlockTerracottaStained_black,/assets/minecraft/textures/block/black_terracotta.png,/textures/blocks/decoBlockTerracottaStained_black.png
51,block,black_wool,decoBlockCarpet_black,/assets/minecraft/textures/block/black_wool.png,/textures/blocks/decoBlockCarpet_black.png
52,block,black_wool,cloth_15,/assets/minecraft/textures/block/black_wool.png,/textures/blocks/cloth_15.png
53,block,blackstone_top,decoBlockInfusedStoneColumn,/assets/minecraft/textures/block/blackstone_top.png,/textures/blocks/decoBlockInfusedStoneColumn.png
54,block,blackstone_top,decoBlockInfusedStone,/assets/minecraft/textures/block/blackstone_top.png,/textures/blocks/decoBlockInfusedStone.png
55,block,blue_concrete,decoBlockConcreteColumn_blue,/assets/minecraft/textures/block/blue_concrete.png,/textures/blocks/decoBlockConcreteColumn_blue.png
